,Coefficient,Mean Absolute Error,Explained Variance Score
Unnamed: 0,0.0408904827865897,7.418787261822897,0.5407680099311926
Unnamed: 0.1,0.04089048278659166,7.418787261822897,0.5407680099311926
vertical_drop,2.169602411970393,7.418787261822897,0.5407680099311926
trams,2.6645352591003757e-15,7.418787261822897,0.5407680099311926
fastEight,0.0,7.418787261822897,0.5407680099311926
fastSixes,4.440892098500626e-16,7.418787261822897,0.5407680099311926
fastQuads,0.536897961849894,7.418787261822897,0.5407680099311926
quad,2.2892885880658103,7.418787261822897,0.5407680099311926
triple,0.30591343910621976,7.418787261822897,0.5407680099311926
double,0.6518375161387489,7.418787261822897,0.5407680099311926
surface,0.9055595991453855,7.418787261822897,0.5407680099311926
total_chairs,0.7183815434766602,7.418787261822897,0.5407680099311926
Runs,0.5034083632715316,7.418787261822897,0.5407680099311926
TerrainParks,2.396678975254193,7.418787261822897,0.5407680099311926
LongestRun_mi,1.8749619707676266,7.418787261822897,0.5407680099311926
SkiableTerrain_ac,2.702482111769173,7.418787261822897,0.5407680099311926
Snow Making_ac,0.9737645343244401,7.418787261822897,0.5407680099311926
daysOpenLastYear,2.010857346783345,7.418787261822897,0.5407680099311926
yearsOpen,0.5112912373987722,7.418787261822897,0.5407680099311926
averageSnowfall,1.662006008593515,7.418787261822897,0.5407680099311926
AdultWeekday,9.620074286703398,7.418787261822897,0.5407680099311926
projectedDaysOpen,1.858371483628392,7.418787261822897,0.5407680099311926
NightSkiing_ac,0.12712229017390494,7.418787261822897,0.5407680099311926
clusters,2.67297370294091,7.418787261822897,0.5407680099311926
